"Project Name:","Hotel 3"

"Item #","Bid Item Description","Status","Drawing Reference","Specification Reference"
"	1","	All Document References for Electrical","	Pending","	C5. - Private Pump Station And Storage Tank Detail,G004 - Life Safety First & Typical Floor Plan,P-7 - Plumbing Enlarged Plans,C2.2 - Final Erosion Control Plan (north),CA.3 - Post Construction Runoff Control Plan,A121 - Reflected Ceiling Plans First & Typical Floors,NO. E-1 - Electrical One Line Diagram,P-1 - Plumbing Notes And Legends,NO. A413 - Enlarged Welcome Desk Plans & Elevs,E-8 - Electrical Site Plan,M-1 - Mechanical Notes, Schedules, And Legends,A411 - Enlarged Lobby Finish Plan,NO. A415 - Fitness & Guest Laundry Plans & Elevs,A111 - Partition Diagrams First & Typical Floors,A481 - Guestroom Plans And Elevations Accessible Single Queen,NO. A131 - Floor Finish Plans First & Typical Floors,C5.0 - Utility Plan,A102 - Floor Plans Third & Fourth Floors,NO. M-2 - Mechanical First & Second Floor Plans,A416 - Breakroom And Laundry Enlarged Plans & Elevs,A101 - Floor Plans First & Second Floors,G003 - Mounting Heights,NO. A483 - Guestroom Plans And Elevations Accessible Double Queen,M-6 - Mechanical Sections And Details,PLAT BOOK 284_PAGE 2 - Alta/nsps Land Title Survey Of Lot 2, Area D Phase 18, Galleria Of Memphis Planned Development As Recorded In Plat Book 284 Page 2 In Memphis, Shelby County, Tennessee,C2.0 - Initial Erosion Control Plan (north),E-6 - Electrical Enlarged Plans,A201 - Exterior Elevations North & East,L1.0 - Landscape Plan,A490 - Guestroom Restroom Plans And Elevations,NO. A412 - Enlarged Lobby Elevations,A480 - Guestroom Plans And Elevations Standard Single Queen,P-4 - Plumbing Water Plans First And Third Floors,G002 - General Information,E-5 - Electrical Plans Roof,NO. E-4 - Electrical Plans Third And Fourth Floor,G006 - Assembly Penetration Details,NO. S001 - General Notes,C2.3 - Final Erosion Control Plan (south),C2.1 - Initial Erosion Control Plan (south),NO. A482 - Guestroom Plans And Elevations Standard Double Queen,A200 - Exterior Elevations South & West,NO. E-2 - Electrical Panels And Schedules,NO. E-3 - Electrical Plans First And Second Floor,NO. A414 - Enlarged Vending & Hydration Plans & Elevs,C3.0 - Site Plan,NO. E-7 - Fire Alarm System Plans,NO. A510 - Interior Details,1 of 1 - Marriott Studiores Cordova Tn","	26 05 19 - Low-voltage Electrical Power Conductors And Cables,26 05 33 - Raceways And Boxes For Electrical Systems,26 27 26 - Wiring Devices,26 05 44 - Sleeves And Sleeve Seals For Electrical Raceways And,26 24 13 - Switchboards,26 24 16 - Panelboards,26 05 29 - Hangers And Supports For Electrical Systems,26 28 16 - Enclosed Switches,26 05 26 - Grounding And Bonding For Electrical Systems,26 05 53 - Identification For Electrical Systems,26 28 13 - Fuses,26 43 13 - Surge Protection For Low-voltage Electrical Power,26 56 13 - Lighting Poles And Standards,26 56 19 - Exterior Lighting,26 27 13 - Electricity Metering,undefined - ,undefined - ,26 52 19 - Emergency And Exit Lighting"
"	2","	Apply Arc Flash Warning Labels to Panelboards","	Pending","	NO. E-1 - Electrical One Line Diagram","	26 05 53 - Identification For Electrical Systems"
"	3","	Furnish (1) Industrial Lighting Products Inc SAS-15L-U-40-T2 Skyline Small Light Fixture","	Pending","	1 of 1 - Marriott Studiores Cordova Tn","	26 56 19 - Exterior Lighting"
"	4","	Furnish (8) Industrial Lighting Products Inc SAS-18L-U-40-T4 Skyline Small Light Fixtures","	Pending","	1 of 1 - Marriott Studiores Cordova Tn","	26 56 19 - Exterior Lighting"
"	5","	Furnish and Install Above-Grade Fused Disconnect for Main Power Feed","	Pending","	C5. - Private Pump Station And Storage Tank Detail","	26 28 16 - Enclosed Switches"
"	6","	Furnish and Install Alarm Light and Siren","	Pending","	C5. - Private Pump Station And Storage Tank Detail","	26 27 26 - Wiring Devices"
"	7","	Furnish and Install Automatic Transfer Switch","	Pending","	C5. - Private Pump Station And Storage Tank Detail","	26 28 16 - Enclosed Switches"
"	8","	Furnish and Install Circuit Breakers","	Pending","	C5. - Private Pump Station And Storage Tank Detail","	26 24 16 - Panelboards"
"	9","	Furnish and Install Dual-Port EV Charger","	Pending","	C5.0 - Utility Plan","	"
"	10","	Furnish and Install Duplex Ground Fault Circuit Interrupter Service Receptacles","	Pending","	C5. - Private Pump Station And Storage Tank Detail","	26 27 26 - Wiring Devices"
