"Project Name:","Hotel 3"

"Item #","Bid Item Description","Status","Drawing Reference","Specification Reference"
"	1","	All Document References for Mechanical","	Pending","	G004 - Life Safety First & Typical Floor Plan,P-7 - Plumbing Enlarged Plans,E-6 - Electrical Enlarged Plans,L1.0 - Landscape Plan,A121 - Reflected Ceiling Plans First & Typical Floors,S104 - Roof Framing Plan,M-4 - Mechanical Roof Plan,A411 - Enlarged Lobby Finish Plan,P-6 - Plumbing Water And Gas Risers,M-1 - Mechanical Notes, Schedules, And Legends,NO. A415 - Fitness & Guest Laundry Plans & Elevs,A480 - Guestroom Plans And Elevations Standard Single Queen,P-4 - Plumbing Water Plans First And Third Floors,A111 - Partition Diagrams First & Typical Floors,A300 - Building Sections,A481 - Guestroom Plans And Elevations Accessible Single Queen,G002 - General Information,NO. A131 - Floor Finish Plans First & Typical Floors,A610 - Window Schedule And Details,NO. P-2 - Plumbing Waste And Vent Plans 1st And 2nd Floor,E-5 - Electrical Plans Roof,NO. E-4 - Electrical Plans Third And Fourth Floor,C5.0 - Utility Plan,NO. A460 - Elevator Plans & Sections,S002 - Typical Details,A102 - Floor Plans Third & Fourth Floors,M-3 - Mechanical Third And Fourth Floor Plans,NO. A482 - Guestroom Plans And Elevations Standard Double Queen,A400 - Enlarged Lobby Plan And Rcp,NO. E-2 - Electrical Panels And Schedules,NO. M-2 - Mechanical First & Second Floor Plans,A103 - Roof Plan,NO. E-3 - Electrical Plans First And Second Floor,A416 - Breakroom And Laundry Enlarged Plans & Elevs,NO. A414 - Enlarged Vending & Hydration Plans & Elevs,NO. M-5 - Mechanical Enlarged Plans,A101 - Floor Plans First & Second Floors,NO. A483 - Guestroom Plans And Elevations Accessible Double Queen,G003 - Mounting Heights,A501 - Roof Details,M-6 - Mechanical Sections And Details,C3.0 - Site Plan,NO. E-7 - Fire Alarm System Plans,NO. A510 - Interior Details","	23 31 13 - Metal Ducts,23 74 33 - Dedicated Outdoor-air Units,23 33 00 - Air Duct Accessories,23 34 23 - Hvac Power Ventilators,23 81 26 - Split-system Heat Pumps,23 11 23 - Facility Natural-gas Piping,23 81 13.11 - Packaged Terminal Air-conditioners,23 37 23 - Hvac Gravity Ventilators,23 82 39.19 - Wall And Ceiling Unit Heaters,undefined - ,23 37 13.13 - Air Diffusers,23 37 13.23 - Air Registers And Grilles"
"	2","	Furnish and Install Roof-Mounted Mechanical Equipment","	Pending","	L1.0 - Landscape Plan,C3.0 - Site Plan","	23 74 33 - Dedicated Outdoor-air Units"
"	3","	Install 1 1/2" and 2" Natural Gas Piping","	Pending","	P-7 - Plumbing Enlarged Plans","	23 11 23 - Facility Natural-gas Piping"
"	4","	Install 1-1/2" Thick R-3.5 Internal Duct Liner","	Pending","	M-4 - Mechanical Roof Plan","	"
"	5","	Install 3" Thick R-6 External Insulation on Ductwork","	Pending","	M-4 - Mechanical Roof Plan","	"
"	6","	Install Air Device (ERA-006)","	Pending","	NO. A414 - Enlarged Vending & Hydration Plans & Elevs","	23 33 00 - Air Duct Accessories"
"	7","	Install Air Device (ERA-008)","	Pending","	NO. A414 - Enlarged Vending & Hydration Plans & Elevs","	23 33 00 - Air Duct Accessories"
"	8","	Install Air Duct Accessories (Grilles, Registers, Volume Dampers, Flexible Connectors)","	Pending","	M-6 - Mechanical Sections And Details","	23 33 00 - Air Duct Accessories"
"	9","	Install Air Handling Unit (AHU 443)","	Pending","	A101 - Floor Plans First & Second Floors","	23 74 33 - Dedicated Outdoor-air Units"
"	10","	Install Air Handling Units (AHU)","	Pending","	A400 - Enlarged Lobby Plan And Rcp,M-6 - Mechanical Sections And Details,A300 - Building Sections,NO. M-2 - Mechanical First & Second Floor Plans,A121 - Reflected Ceiling Plans First & Typical Floors,A411 - Enlarged Lobby Finish Plan,G004 - Life Safety First & Typical Floor Plan,NO. A131 - Floor Finish Plans First & Typical Floors","	23 74 33 - Dedicated Outdoor-air Units"
"	11","	Install Air Handling Units (AHU) and Fan Coil Units (FCU)","	Pending","	NO. P-2 - Plumbing Waste And Vent Plans 1st And 2nd Floor,NO. M-5 - Mechanical Enlarged Plans","	23 74 33 - Dedicated Outdoor-air Units"
"	12","	Install Booster Pump","	Pending","	E-6 - Electrical Enlarged Plans","	"
"	13","	Install Broan 885BL Wall Caps with Backdraft Dampers","	Pending","	M-4 - Mechanical Roof Plan","	23 37 23 - Hvac Gravity Ventilators"
"	14","	Install Ceiling Radiation Dampers in Fire-Rated Assemblies","	Pending","	M-3 - Mechanical Third And Fourth Floor Plans,NO. M-2 - Mechanical First & Second Floor Plans","	23 33 00 - Air Duct Accessories"
"	15","	Install Combination Fire/Smoke Dampers and Sleeves in Fire-Rated Walls","	Pending","	NO. M-5 - Mechanical Enlarged Plans","	23 33 00 - Air Duct Accessories"
"	16","	Install Combustion Air Termination with 90-Degree Turn Down","	Pending","	NO. M-5 - Mechanical Enlarged Plans","	23 33 00 - Air Duct Accessories"
"	17","	Install Condensing Units","	Pending","	M-6 - Mechanical Sections And Details","	"
"	18","	Install Dedicated Outdoor Air System (DOAS) Units","	Pending","	G004 - Life Safety First & Typical Floor Plan,NO. M-5 - Mechanical Enlarged Plans,NO. E-2 - Electrical Panels And Schedules,A103 - Roof Plan","	23 74 33 - Dedicated Outdoor-air Units"
"	19","	Install Dedicated Outdoor Air System Unit (DOAS-1)","	Pending","	M-4 - Mechanical Roof Plan,P-7 - Plumbing Enlarged Plans,M-3 - Mechanical Third And Fourth Floor Plans","	23 74 33 - Dedicated Outdoor-air Units"
"	20","	Install Dryer Exhaust Systems","	Pending","	A101 - Floor Plans First & Second Floors","	23 34 23 - Hvac Power Ventilators"
"	21","	Install Ductwork for Dedicated Outdoor Air System (DOAS) Shaft","	Pending","	A103 - Roof Plan,NO. A460 - Elevator Plans & Sections,A400 - Enlarged Lobby Plan And Rcp","	23 31 13 - Metal Ducts,23 33 00 - Air Duct Accessories,23 74 33 - Dedicated Outdoor-air Units"
"	22","	Install Ductwork Routed in Soffits, Plenums, and TJI Spaces","	Pending","	NO. M-5 - Mechanical Enlarged Plans","	23 31 13 - Metal Ducts"
"	23","	Install Ductwork Supports per SMACNA Standards","	Pending","	M-6 - Mechanical Sections And Details","	"
"	24","	Install Electric Unit Heaters (EUH)","	Pending","	NO. M-5 - Mechanical Enlarged Plans,NO. E-3 - Electrical Plans First And Second Floor","	23 82 39.19 - Wall And Ceiling Unit Heaters"
"	25","	Install Electric Unit Heaters (EUH-3 and EUH-4)","	Pending","	NO. M-2 - Mechanical First & Second Floor Plans","	23 82 39.19 - Wall And Ceiling Unit Heaters"
"	26","	Install Exhaust Fan (EF-4)","	Pending","	E-5 - Electrical Plans Roof,M-4 - Mechanical Roof Plan","	23 34 23 - Hvac Power Ventilators"
"	27","	Install Exhaust Fan (EF-7)","	Pending","	M-3 - Mechanical Third And Fourth Floor Plans","	23 34 23 - Hvac Power Ventilators"
"	28","	Install Exhaust Fans","	Pending","	NO. E-2 - Electrical Panels And Schedules,NO. E-3 - Electrical Plans First And Second Floor,NO. M-5 - Mechanical Enlarged Plans","	23 34 23 - Hvac Power Ventilators"
"	29","	Install Exhaust Fans (EF-7 and EF-8)","	Pending","	NO. M-2 - Mechanical First & Second Floor Plans","	23 34 23 - Hvac Power Ventilators"
"	30","	Install Exhaust Fan Thermostat Controls","	Pending","	E-6 - Electrical Enlarged Plans","	"
"	31","	Install Exhaust Hoods","	Pending","	A103 - Roof Plan","	23 34 23 - Hvac Power Ventilators"
"	32","	Install Exterior Ductwork","	Pending","	M-4 - Mechanical Roof Plan","	23 31 13 - Metal Ducts"
"	33","	Install Exterior Wall Caps and Terminations","	Pending","	NO. M-5 - Mechanical Enlarged Plans","	23 34 23 - Hvac Power Ventilators"
"	34","	Install Fan Coil Units (FCU)","	Pending","	M-6 - Mechanical Sections And Details","	"
"	35","	Install Final Gas Connection to DOAS-1 Unit","	Pending","	P-4 - Plumbing Water Plans First And Third Floors","	23 74 33 - Dedicated Outdoor-air Units"
"	36","	Install Fire Dampers and Sleeves in Fire-Rated Walls","	Pending","	NO. M-5 - Mechanical Enlarged Plans","	23 33 00 - Air Duct Accessories"
"	37","	Install Fire Smoke Dampers (FSD)","	Pending","	M-3 - Mechanical Third And Fourth Floor Plans","	23 33 00 - Air Duct Accessories"
"	38","	Install Gas Pressure Regulator (GPR)","	Pending","	P-6 - Plumbing Water And Gas Risers","	23 11 23 - Facility Natural-gas Piping"
"	39","	Install Guest Bath Exhaust Systems including Fans, Vents, Grilles, and Ductwork","	Pending","	A480 - Guestroom Plans And Elevations Standard Single Queen,NO. A483 - Guestroom Plans And Elevations Accessible Double Queen,NO. A482 - Guestroom Plans And Elevations Standard Double Queen,A481 - Guestroom Plans And Elevations Accessible Single Queen","	23 31 13 - Metal Ducts,23 34 23 - Hvac Power Ventilators"
