Item #	Bid Item Description	Category
1	All Document References for Electrical	Others
2	Apply Arc Flash Warning Labels to Panelboards	Operation and Maintenance of Electrical Systems
3	Furnish (1) Industrial Lighting Products Inc SAS-15L-U-40-T2 Skyline Small Light Fixture	Lighting
4	Furnish (8) Industrial Lighting Products Inc SAS-18L-U-40-T4 Skyline Small Light Fixtures	Lighting
5	Furnish and Install Above-Grade Fused Disconnect for Main Power Feed	Low-Voltage Electrical Distribution
6	Furnish and Install Alarm Light and Siren	Low-Voltage Electrical Distribution
7	Furnish and Install Automatic Transfer Switch	Facility Electrical Power Generating and Storing Equipment
8	Furnish and Install Circuit Breakers	Low-Voltage Electrical Distribution
9	Furnish and Install Dual-Port EV Charger	Low-Voltage Electrical Distribution
10	Furnish and Install Duplex Ground Fault Circuit Interrupter Service Receptacles	Low-Voltage Electrical Distribution
11	Furnish and Install Exterior Light Poles and Foundations	Lighting
12	Furnish and Install Exterior Site Lighting Poles or Bollards	Lighting
13	Furnish and Install Minimum 10kW Generator	Facility Electrical Power Generating and Storing Equipment
14	Furnish and Install Minimum 2-Inch Diameter Electrical Conduit System	Low-Voltage Electrical Distribution
15	Furnish and Install Motor Control Center with Associated Components	Low-Voltage Electrical Distribution
16	Furnish and Install NEMA 4X Control Panel	Low-Voltage Electrical Distribution
17	Furnish and Install Pole-Mounted Exterior Light Fixtures	Lighting
18	Furnish and Install Site Light Poles	Lighting
19	Furnish and Install Site Light Poles and Fixtures	Lighting
20	Furnish and Install Surge Protection for Lighting	Electrical Protection
21	Furnish and Install Underground Electric Service Line	Low-Voltage Electrical Distribution
22	Install 120V Dedicated Circuit for Elevator Cab Lighting	Low-Voltage Electrical Distribution
23	Install 120V Service Receptacles at Equipment	Low-Voltage Electrical Distribution
24	Install 12"x12"x6" Riser Junction Boxes for BDA System	Low-Voltage Electrical Distribution
25	Install 15A/2P Receptacles for PTAC Units	Low-Voltage Electrical Distribution
26	Install 1" Conduit for BDA System	Low-Voltage Electrical Distribution
27	Install 208/120V 3-Phase Utility Transformer	Medium-Voltage Electrical Distribution
28	Install 2" Conduit Between BDA Riser Junction Boxes	Low-Voltage Electrical Distribution
29	Install 2-Gang Boxes with Transformers	Low-Voltage Electrical Distribution
30	Install 4" Schedule 40 PVC Underground Conduit for Primary Conductors	Medium-Voltage Electrical Distribution
31	Install 4" x 6' Ground Bus Bar	Electrical Protection
32	Install 8"x8"x6" Junction Boxes for BDA System	Low-Voltage Electrical Distribution
33	Install Armored and Metal-Clad Cables	Low-Voltage Electrical Distribution
34	Install Branch Circuitry for Guest Units	Low-Voltage Electrical Distribution
35	Install Branch Circuit Wiring (THHN/THWN/THW)	Low-Voltage Electrical Distribution
36	Install Ceiling Mounted Receptacles for Heat Trace	Low-Voltage Electrical Distribution
37	Install Concealed Conduit System with Pull Wires	Low-Voltage Electrical Distribution
38	Install Copper Conductors in Steel Conduit	Low-Voltage Electrical Distribution
39	Install CT Cabinet and Meter Base	Low-Voltage Electrical Distribution
40	Install Decora Style Switches and Receptacles in Lobby	Low-Voltage Electrical Distribution
41	Install Dimming Controls for Corridor Lighting	Lighting
42	Install Disconnect Switches for Mechanical Equipment	Low-Voltage Electrical Distribution
43	Install Divided Wiremold Raceway	Low-Voltage Electrical Distribution
44	Install Doorbell System with Disable Switch	Low-Voltage Electrical Distribution
45	Install Dual Port Level 2 EV Chargers	Low-Voltage Electrical Distribution
46	Install Duplex Receptacle for Microwave	Low-Voltage Electrical Distribution
47	Install Electrical Distribution Equipment in Mechanical/Electrical Room	Low-Voltage Electrical Distribution
48	Install Electrical Junction Boxes	Low-Voltage Electrical Distribution
49	Install Electrical Panelboards	Low-Voltage Electrical Distribution
