Item #	Bid Item Description	Category
1	All Document References for Plumbing	Others
2	Furnish and Install 1/2" PEX-a (Uponor) Domestic Water Piping	Plumbing Piping
3	Furnish and Install 3/4" Gas Piping to Roof	Plumbing Piping
4	Furnish and Install (3) WH-1,2,3 Gas Tankless Water Heaters (Intellihot IN501)	Plumbing Equipment
5	Furnish and Install Accessible Lavatories	Plumbing Fixtures
6	Furnish and Install Accessible Showers with Controls and Hand Shower	Plumbing Fixtures
7	Furnish and Install ADA Insulation Covers for P-2H Lavatory	Plumbing Fixtures
8	Furnish and Install Backflow Preventer (BP-1)	Plumbing Equipment
9	Furnish and Install Backflow Prevention or Anti-Siphon Devices	Plumbing Piping
10	Furnish and Install BP-1 Compact Duplex Booster Pump System (Towel Whitney TW2018U-150G-40)	Plumbing Equipment
11	Furnish and Install Condensate Disposal Sump Pump System	Plumbing Equipment
12	Furnish and Install Copper Manifolds for Water Distribution	Plumbing Piping
13	Furnish and Install Diverter Valve (Signature Hardware 953056) with Trim for P-3H	Plumbing Fixtures
14	Furnish and Install Diverter Valve (Signature Hardware 953056) with Trim for P-4H	Plumbing Fixtures
15	Furnish and Install Domestic Water Booster Pump	Plumbing Equipment
16	Furnish and Install Domestic Water Heater	Plumbing Equipment
17	Furnish and Install Domestic Water Piping (Copper or CPVC)	Plumbing Piping
18	Furnish and Install Electric Water Coolers	Plumbing Fixtures
19	Furnish and Install Elevator Pit Sump Pump System	Plumbing Equipment
20	Furnish and Install Floor Drain FD (Zurn ZN4152NHBP) with Trap Primer Connection	Plumbing Piping
21	Furnish and Install Floor Drains	Plumbing Piping
22	Furnish and Install Floor Drains, Types P-3H and P-5	Plumbing Piping
23	Furnish and Install Gas Pressure Regulators	Plumbing Piping
24	Furnish and Install General Plumbing Fixtures	Plumbing Fixtures
25	Furnish and Install Heat Trace System	Plumbing Equipment
26	Furnish and Install Hydration Station	Plumbing Fixtures
27	Furnish and Install Lint Interceptor	Plumbing Equipment
28	Furnish and Install Miscellaneous Accessories, Valves, and Water Hammer Arrestors	Plumbing Piping
29	Furnish and Install Normally Closed Valve for Bypass Loop	Plumbing Piping
30	Furnish and Install P-1 Two-Piece Elongated Toilet (Signature Hardware SHBD200WH/SHBD240WH)	Plumbing Fixtures
31	Furnish and Install P-2H ADA 21" Undermount Bathroom Sink (Signature Hardware SHBYU1812)	Plumbing Fixtures
32	Furnish and Install P-3H ADA 60"x30" Vikrell Tub and Shower Unit (Sterling 71240125)	Plumbing Fixtures
33	Furnish and Install P-4H ADA 64"x40" Roll-In Shower Unit (Sterling 62070115)	Plumbing Fixtures
34	Furnish and Install Plumbing Fixture (ELK-001)	Plumbing Fixtures
35	Furnish and Install Plumbing Fixture (PL-812)	Plumbing Fixtures
36	Furnish and Install Plumbing Fixtures, Including Sinks (SNK-003)	Plumbing Fixtures
37	Furnish and Install Pressure Balance Shower Faucet Valve (SH4001) with Trim for P-4H	Plumbing Fixtures
38	Furnish and Install Pressure Balance Tub and Shower Faucet Valve (SH4001) with Trim for P-3H	Plumbing Fixtures
39	Furnish and Install Reduced Pressure (RP) Backflow Preventer	Plumbing Equipment
40	Furnish and Install Secondary Drain Pans with Float Switches	Plumbing Piping
41	Furnish and Install Shower Pans	Plumbing Fixtures
42	Furnish and Install Shower SHR-002	Plumbing Fixtures
43	Furnish and Install Shower Trim for P-3H	Plumbing Fixtures
44	Furnish and Install Shower Trim for P-4H	Plumbing Fixtures
45	Furnish and Install Shutoff Valves and Brass Ball Valves	Plumbing Piping
46	Furnish and Install Single Hole Faucet with Pop-Up Drain Assembly (Signature Hardware SHWSCBW100)	Plumbing Fixtures
47	Furnish and Install Sink SNK-001	Plumbing Fixtures
48	Furnish and Install Sink (SNK-006)	Plumbing Fixtures
